x,y
547.0,467.0
809.0,469.0
1051.0,465.0
1318.0,440.0
1584.0,449.0
1850.0,440.0
1552.0,132.0
1850.0,116.0
1309.0,142.0
1068.0,141.0
803.0,144.0
515.0,149.0
276.0,159.0
60.0,169.0
293.0,479.0
51.0,479.0
547.0,467.0
809.0,469.0
1051.0,465.0
1318.0,440.0
1584.0,449.0
1850.0,440.0
1552.0,132.0
1850.0,116.0
1309.0,142.0
1068.0,141.0
803.0,144.0
515.0,149.0
276.0,159.0
60.0,169.0
293.0,479.0
51.0,479.0
93.0,729.0
312.0,737.0
555.0,745.0
803.0,741.0
1053.0,717.0
1306.0,726.0
1545.0,713.0
1795.0,701.0
1773.0,973.0
1525.0,967.0
1276.0,988.0
1050.0,980.0
804.0,980.0
569.0,985.0
331.0,974.0
130.0,977.0
547.0,467.0
809.0,469.0
1051.0,465.0
1318.0,440.0
1584.0,449.0
1850.0,440.0
1552.0,132.0
1850.0,116.0
1309.0,142.0
1068.0,141.0
803.0,144.0
515.0,149.0
276.0,159.0
60.0,169.0
293.0,479.0
51.0,479.0
93.0,729.0
312.0,737.0
555.0,745.0
803.0,741.0
1053.0,717.0
1306.0,726.0
1545.0,713.0
1795.0,701.0
1773.0,973.0
1525.0,967.0
1276.0,988.0
1050.0,980.0
804.0,980.0
569.0,985.0
331.0,974.0
130.0,977.0
