x,y
23.0,136.0
87.0,135.0
240.0,127.0
304.0,132.0
469.0,119.0
540.0,120.0
758.0,108.0
826.0,109.0
1018.0,109.0
1087.0,111.0
1257.0,111.0
1326.0,110.0
1501.0,101.0
1572.0,101.0
1791.0,80.0
1863.0,84.0
13.0,444.0
76.0,441.0
249.0,448.0
314.0,444.0
508.0,434.0
568.0,437.0
763.0,436.0
825.0,434.0
1007.0,428.0
1068.0,431.0
1268.0,399.0
1341.0,410.0
1532.0,413.0
1598.0,414.0
1793.0,401.0
1870.0,405.0
23.0,136.0
87.0,135.0
240.0,127.0
304.0,132.0
469.0,119.0
540.0,120.0
758.0,108.0
826.0,109.0
1018.0,109.0
1087.0,111.0
1257.0,111.0
1326.0,110.0
1501.0,101.0
1572.0,101.0
1791.0,80.0
1863.0,84.0
13.0,444.0
76.0,441.0
249.0,448.0
314.0,444.0
508.0,434.0
568.0,437.0
763.0,436.0
825.0,434.0
1007.0,428.0
1068.0,431.0
1268.0,399.0
1341.0,410.0
1532.0,413.0
1598.0,414.0
1793.0,401.0
1870.0,405.0
51.0,701.0
114.0,695.0
274.0,701.0
334.0,702.0
512.0,710.0
572.0,707.0
762.0,701.0
822.0,706.0
1007.0,680.0
1073.0,683.0
1258.0,689.0
1324.0,689.0
1496.0,675.0
1559.0,682.0
1745.0,666.0
1813.0,668.0
93.0,941.0
153.0,937.0
293.0,934.0
352.0,932.0
528.0,942.0
590.0,949.0
764.0,935.0
824.0,944.0
1009.0,936.0
1067.0,943.0
1231.0,942.0
1295.0,951.0
1474.0,928.0
1546.0,930.0
1729.0,929.0
1790.0,940.0
23.0,136.0
87.0,135.0
240.0,127.0
304.0,132.0
469.0,119.0
540.0,120.0
758.0,108.0
826.0,109.0
1018.0,109.0
1087.0,111.0
1257.0,111.0
1326.0,110.0
1501.0,101.0
1572.0,101.0
1791.0,80.0
1863.0,84.0
13.0,444.0
76.0,441.0
249.0,448.0
314.0,444.0
508.0,434.0
568.0,437.0
763.0,436.0
825.0,434.0
1007.0,428.0
1068.0,431.0
1268.0,399.0
1341.0,410.0
1532.0,413.0
1598.0,414.0
1793.0,401.0
1870.0,405.0
51.0,701.0
114.0,695.0
274.0,701.0
334.0,702.0
512.0,710.0
572.0,707.0
762.0,701.0
822.0,706.0
1007.0,680.0
1073.0,683.0
1258.0,689.0
1324.0,689.0
1496.0,675.0
1559.0,682.0
1745.0,666.0
1813.0,668.0
93.0,941.0
153.0,937.0
293.0,934.0
352.0,932.0
528.0,942.0
590.0,949.0
764.0,935.0
824.0,944.0
1009.0,936.0
1067.0,943.0
1231.0,942.0
1295.0,951.0
1474.0,928.0
1546.0,930.0
1729.0,929.0
1790.0,940.0
