x,y
843.0,673.0
777.0,671.0
1034.0,651.0
1094.0,656.0
1270.0,662.0
1329.0,668.0
1245.0,892.0
1310.0,898.0
1026.0,889.0
1086.0,895.0
787.0,902.0
845.0,904.0
613.0,895.0
557.0,889.0
593.0,672.0
538.0,674.0
532.0,408.0
597.0,413.0
784.0,414.0
838.0,416.0
775.0,116.0
846.0,122.0
1029.0,123.0
1250.0,131.0
1016.0,412.0
1075.0,413.0
319.0,879.0
382.0,879.0
118.0,884.0
181.0,875.0
78.0,651.0
146.0,653.0
305.0,658.0
362.0,662.0
1496.0,654.0
1556.0,659.0
1734.0,642.0
1804.0,651.0
1487.0,885.0
1554.0,890.0
1745.0,900.0
1810.0,902.0
1522.0,404.0
1590.0,409.0
1267.0,391.0
1335.0,399.0
350.0,417.0
286.0,422.0
116.0,417.0
51.0,416.0
278.0,125.0
340.0,130.0
567.0,130.0
505.0,129.0
67.0,126.0
136.0,130.0
1316.0,137.0
1475.0,129.0
1543.0,132.0
1742.0,115.0
1812.0,116.0
1766.0,396.0
1834.0,401.0
1084.0,123.0
