x,y
1102.0,644.0
1040.0,643.0
1274.0,655.0
1334.0,657.0
1493.0,640.0
1555.0,644.0
1725.0,633.0
1791.0,637.0
1485.0,891.0
1546.0,896.0
1721.0,897.0
1786.0,908.0
1244.0,901.0
1312.0,906.0
1090.0,907.0
1032.0,907.0
849.0,923.0
793.0,918.0
621.0,912.0
567.0,909.0
390.0,897.0
329.0,898.0
188.0,900.0
124.0,906.0
160.0,652.0
96.0,653.0
321.0,657.0
378.0,657.0
553.0,668.0
610.0,668.0
792.0,662.0
854.0,665.0
1086.0,388.0
1026.0,384.0
1277.0,357.0
1342.0,365.0
1518.0,376.0
1580.0,376.0
1756.0,364.0
1828.0,365.0
1738.0,60.0
1808.0,63.0
1545.0,75.0
1484.0,78.0
1323.0,77.0
1262.0,79.0
1104.0,73.0
1040.0,70.0
861.0,68.0
800.0,68.0
589.0,75.0
532.0,73.0
367.0,77.0
301.0,72.0
162.0,74.0
96.0,80.0
133.0,385.0
68.0,389.0
299.0,391.0
370.0,386.0
551.0,384.0
615.0,385.0
796.0,387.0
859.0,385.0
