x,y
530.0,70.0
590.0,73.0
802.0,64.0
866.0,67.0
1043.0,68.0
1104.0,68.0
1264.0,71.0
1326.0,72.0
1478.0,70.0
1547.0,71.0
1743.0,59.0
1804.0,63.0
1754.0,360.0
1828.0,365.0
1518.0,368.0
1578.0,370.0
1279.0,357.0
1345.0,361.0
1090.0,384.0
1024.0,378.0
801.0,380.0
858.0,380.0
555.0,381.0
617.0,379.0
303.0,395.0
369.0,384.0
307.0,74.0
370.0,73.0
96.0,82.0
164.0,77.0
68.0,391.0
137.0,384.0
91.0,652.0
167.0,650.0
321.0,655.0
373.0,653.0
551.0,667.0
606.0,660.0
796.0,665.0
849.0,667.0
1041.0,640.0
1102.0,643.0
1268.0,650.0
1332.0,656.0
1498.0,642.0
1555.0,645.0
1732.0,627.0
1791.0,633.0
1728.0,909.0
1798.0,909.0
1476.0,889.0
1547.0,899.0
1249.0,902.0
1314.0,904.0
1030.0,908.0
1093.0,905.0
796.0,919.0
853.0,920.0
571.0,909.0
629.0,915.0
327.0,894.0
386.0,895.0
123.0,901.0
185.0,895.0
