id,x,y,w,h,
0,856,421,140,195,
1,1078,418,140,195,
2,1332,395,140,195,
3,1568,420,140,200,
4,1804,419,145,200,
5,1534,127,140,165,
6,1310,131,150,160,
7,1095,134,155,160,
8,855,131,165,170,
9,593,134,155,165,
10,374,141,175,160,
11,169,132,160,180,
12,149,437,170,200,
13,368,431,145,190,
14,614,431,145,200,
15,611,708,140,200,
16,852,709,140,200,
17,1090,687,140,200,
18,1317,678,140,235,
19,1538,685,155,200,
20,1788,677,175,200,
21,382,717,170,200,
22,163,706,160,200,
23,194,951,165,210,
24,375,944,165,200,
25,614,961,180,200,
26,848,962,140,200,
27,1086,951,140,200,
28,1297,954,160,200,
29,1541,939,165,200,
30,1775,951,165,200,
0,856,421,140,195,
1,1078,418,140,195,
2,1332,395,140,195,
3,1568,420,140,200,
4,1804,419,145,200,
5,1534,127,140,165,
6,1310,131,150,160,
7,1095,134,155,160,
8,855,131,165,170,
9,593,134,155,165,
10,374,141,175,160,
11,169,132,160,180,
12,149,437,170,200,
13,368,431,145,190,
14,614,431,145,200,
15,611,708,140,200,
16,852,709,140,200,
17,1090,687,140,200,
18,1317,678,140,235,
19,1538,685,155,200,
20,1788,677,175,200,
21,382,717,170,200,
22,163,706,160,200,
23,194,951,165,210,
24,375,944,165,200,
25,614,961,180,200,
26,848,962,140,200,
27,1086,951,140,200,
28,1297,954,160,200,
29,1541,939,165,200,
30,1775,951,165,200,
31,1788,109,155,200,
