id,x,y,w,h
0,838.0,458.0,140.0,200.0
1,1067.0,458.0,140.0,200.0
2,1324.0,436.0,140.0,200.0
3,1575.0,452.0,140.0,200.0
4,1824.0,445.0,140.0,200.0
5,584.0,455.0,140.0,200.0
6,338.0,457.0,140.0,200.0
7,97.0,453.0,140.0,200.0
8,113.0,167.0,140.0,200.0
9,322.0,165.0,140.0,200.0
10,552.0,166.0,140.0,200.0
11,827.0,163.0,140.0,200.0
12,1080.0,164.0,140.0,200.0
13,1309.0,172.0,140.0,200.0
14,1533.0,166.0,140.0,200.0
15,1807.0,160.0,140.0,200.0
16,127.0,693.0,140.0,200.0
17,350.0,698.0,140.0,200.0
18,588.0,711.0,140.0,200.0
19,830.0,714.0,140.0,200.0
20,1084.0,690.0,140.0,200.0
21,1324.0,705.0,140.0,200.0
22,1550.0,701.0,140.0,200.0
23,1793.0,690.0,140.0,200.0
24,166.0,923.0,140.0,200.0
25,365.0,926.0,140.0,200.0
26,603.0,935.0,140.0,200.0
27,835.0,945.0,140.0,200.0
28,1076.0,937.0,140.0,200.0
29,1299.0,938.0,140.0,200.0
30,1546.0,931.0,140.0,200.0
31,1806.0,947.0,140.0,200.0
